GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\Elkhaligi_Momo_LA_EMP UPdated- non zip files may have been corrupted\2017-04-20 EMP UPDATED\run2.b
Created: Mon Aug 21 12:01:05 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Co59,380.92,382.77,32.70,33.44,35.61,138.63,141.84,119.05,117.66,119.49,145.74,147.98,152.70,148.10,151.10,167.01,137.16,391.30,389.65,32.18,33.98,37.28,140.68,144.44
Ni60,415.95,416.28,33.63,35.63,11.42,2840.84,2966.14,2581.72,2581.69,2599.78,3020.42,3093.88,3120.78,3082.53,3113.69,2589.14,2647.01,410.69,411.83,34.32,34.65,11.55,2800.47,2915.89
Ni62,396.74,405.15,33.45,35.82,15.41,2775.49,2898.57,2534.29,2567.04,2598.00,3154.81,3060.81,3153.58,3091.03,3143.58,2647.96,2728.89,416.71,421.97,35.14,33.73,15.89,2920.52,3092.97
Cu63,436.19,435.42,36.01,37.63,17.59,0.766,4.06,2.64,0.589,0.637,1.383,1.258,1.385,1.271,1.268,5.37,2.130,437.02,437.05,36.39,37.04,18.50,0.837,4.29
Zn66,451.77,461.35,36.90,39.23,179.08,59.81,68.79,58.22,42.27,43.11,59.45,67.66,69.04,68.02,68.30,119.77,61.47,437.89,444.57,38.21,37.53,173.42,54.18,65.40
Zn67,430.64,435.93,37.32,38.68,215.97,51.68,60.81,52.19,36.90,38.51,54.59,62.10,63.62,61.99,63.24,111.22,56.10,446.21,464.07,37.58,38.29,220.33,50.84,62.80
Ga69,416.44,423.46,35.54,36.41,79.16,0.0490,0.0743,0.0965,0.0370,0.0296,0.0436,0.0595,0.309,0.0560,0.0590,0.314,0.0781,425.30,432.70,35.10,36.84,77.18,<0.0565,0.1018
Sr88,519.57,519.82,79.32,79.30,331.64,<0.0203,<0.0269,0.1167,<0.0058,0.0032,0.0044,<0.00549,<0.0096,<0.0094,<0.0120,0.0090,<0.00732,513.01,520.06,78.93,79.73,335.26,<0.0277,<0.0291
Y89,503.93,501.72,41.33,41.04,30.90,0.0392,0.0549,0.224,<0.0069,<0.0098,<0.0138,<0.0065,0.0153,<0.0092,0.0045,0.0127,<0.0062,507.07,496.71,41.14,41.28,31.26,<0.0371,0.0520
Zr90,502.93,498.23,42.35,41.80,173.93,<0.052,0.0352,0.103,0.303,0.325,0.245,0.360,6.89,0.305,0.330,0.164,0.143,493.12,486.72,42.16,42.04,174.25,0.067,0.0432
Nb93,505.58,503.47,42.17,42.47,13.52,<0.0243,0.0060,0.1420,0.223,0.226,0.194,0.205,0.227,0.221,0.207,0.0137,0.1125,504.45,500.44,42.11,42.51,13.71,<0.0235,<0.0180
Ba135,429.10,431.17,38.86,38.73,649.37,<0.367,0.024,0.216,<0.149,0.0149,<0.133,<0.0636,<0.091,<0.090,<0.089,<0.0617,<0.105,438.53,444.60,38.65,38.98,682.04,<0.164,<0.309
Ba137,416.70,420.60,38.44,39.31,640.00,<0.094,0.0135,0.351,<0.101,<0.0541,<0.108,<0.0363,<0.0367,<0.0362,<0.0803,<0.0499,<0.0777,441.65,443.31,38.01,39.72,684.29,<0.133,<0.126
La139,435.10,432.49,35.60,36.07,23.07,0.0023,<0.0237,0.0114,0.00063,0.00164,<0.0117,0.00121,0.0103,<0.00778,<0.0094,0.00113,<0.00739,432.38,429.17,35.56,36.07,23.16,<0.0241,0.0035
Ce140,461.07,461.55,38.97,39.50,51.06,<0.0167,<0.0191,0.1194,<0.00824,<0.0126,<0.0116,<0.00634,0.0145,<0.00627,0.00167,0.00251,<0.00595,462.85,458.20,38.86,39.59,52.05,<0.0193,0.00057
Gd157,446.00,445.97,37.24,37.62,5.71,<0.136,<0.110,0.0212,<0.0276,<0.0733,<0.0781,<0.0264,0.0087,<0.0371,<0.0261,<0.0362,<0.0356,449.83,445.50,36.98,37.88,5.70,<0.137,<0.0645
Yb172,485.39,484.00,40.97,39.96,3.35,0.0277,<0.0588,0.123,0.00096,<0.0255,<0.0507,0.0074,<0.0172,<0.0340,<0.0336,<0.0286,<0.0325,486.16,476.91,40.34,40.72,3.14,<0.0618,0.0179

GLITTER!: 1 sigma error.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Li7,17.61,17.55,1.53,1.57,0.37,0.086,0.10,0.060,0.039,0.041,0.075,0.090,0.098,0.091,0.094,0.086,0.059,21.65,22.08,1.92,2.03,0.51,0.091,0.11
B11,6.07,6.16,1.62,1.72,1.04,0.94,0.92,0.76,0.70,0.69,0.67,0.64,0.65,0.63,0.64,0.60,0.60,12.26,13.14,2.85,3.17,1.97,0.91,0.93
Na23,4097.34,4044.37,4077.56,4218.33,956.10,1.17,2.99,3.35,2.71,2.73,2.82,2.82,2.87,2.79,2.78,6.17,2.84,5276.94,5443.40,5520.14,5936.48,1407.49,1.14,2.95
