GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 6.b
Created: Fri Sep 29 17:58:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Zn66,323.90,317.57,27.32,26.88,125.00,42.57,51.13,117.17,89.76,100.86,116.40,17.29,16.42,75.54,86.74,341.77,347.09,29.47,28.06,125.00,44.34,51.94
Zn67,262.02,258.69,22.04,23.77,125.00,30.96,37.60,83.85,65.44,77.94,85.88,12.41,12.13,56.51,65.30,275.68,275.23,24.53,22.75,125.00,33.87,39.85
Ga69,143.43,141.66,12.02,11.90,23.00,0.0119,0.0355,0.0520,0.0632,0.0442,0.1250,2.170,1.896,0.0331,0.0303,150.28,151.36,12.77,12.37,23.00,0.0130,0.0354
Sr88,535.71,535.47,82.21,82.92,342.00,<0.0506,<0.0128,0.1384,0.1431,0.132,0.851,299.90,321.80,0.0282,0.0183,531.55,527.20,81.79,80.35,342.00,<0.0536,<0.0200
Y89,571.74,575.59,47.50,48.32,35.00,0.0435,0.0330,0.0959,0.0389,0.0497,0.209,3.49,3.27,0.187,<0.0252,554.65,568.01,46.30,45.16,35.00,<0.0426,0.0743
Zr90,511.43,516.95,44.33,44.61,184.00,0.082,<0.057,0.216,0.546,0.144,2.96,58.42,68.64,16.29,1.410,511.78,518.78,44.41,43.91,184.00,0.109,0.057
Nb93,444.22,447.72,38.16,37.70,12.50,<0.0294,<0.0331,1.697,1.526,0.475,8.92,1.088,0.825,0.0245,<0.0122,452.18,456.97,38.39,37.75,12.50,0.0051,<0.0220
Ba135,450.77,446.94,40.78,39.68,683.00,<0.246,<0.206,0.650,0.418,0.111,3.26,0.534,0.421,<0.293,0.0097,441.71,452.00,40.26,40.89,683.00,<0.242,<0.283
Ba137,452.27,450.66,39.73,39.71,683.00,<0.175,<0.120,0.708,0.498,0.099,2.96,0.331,0.377,0.018,0.0056,442.99,448.99,40.88,40.56,683.00,<0.198,<0.00
La139,453.90,458.91,38.22,37.82,24.70,<0.00,0.0025,0.0760,0.0684,0.0398,0.281,9.53,7.23,0.0063,0.0283,455.70,459.62,37.97,37.62,24.70,<0.0367,<0.0349
Ce140,474.61,477.54,40.06,40.18,53.30,<0.0171,<0.0227,0.318,0.514,0.199,0.527,39.15,28.61,0.378,0.0986,476.25,483.83,40.68,40.12,53.30,<0.0167,<0.00
Gd157,466.99,478.98,40.41,41.16,6.71,<0.0771,<0.0650,<0.0445,0.0223,0.0136,<0.077,2.28,1.968,<0.158,<0.053,516.90,527.67,44.24,43.79,6.71,0.0091,<0.0804
Yb172,536.99,548.78,45.98,46.31,3.39,0.0235,<0.0428,0.0238,<0.0329,<0.0475,<0.049,0.190,0.204,<0.123,0.0115,542.65,555.09,46.53,46.62,3.39,<0.102,0.0249

GLITTER!: 1 sigma error.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,13.32,13.67,1.17,1.16,0.29,0.078,0.092,0.16,0.15,0.16,0.16,0.21,0.16,0.14,0.089,13.64,13.81,1.19,1.16,0.29,0.079,0.097
B11,2.78,2.81,0.42,0.40,0.19,0.19,0.18,0.13,0.12,0.11,0.18,0.13,0.11,0.18,0.14,3.54,3.63,0.50,0.49,0.20,0.17,0.17
