GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run4.b
Created: Fri Sep 29 18:34:39 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Y89,464.31,460.87,38.33,38.23,31.06,0.0359,0.0521,0.0467,0.0401,0.0452,0.0473,0.0453,0.0457,0.0505,0.0527,0.0401,0.0476,473.01,456.88,38.93,37.71,12.27,0.0355,0.0630,31.48
Zr90,439.99,435.03,38.14,37.61,164.74,0.096,0.0312,0.0574,0.483,0.419,0.0690,0.605,0.0616,0.0992,4.38,<-1.000,0.0447,448.47,432.59,38.37,37.47,249.86,0.089,0.0470,169.50
Nb93,459.80,464.98,38.66,39.18,12.45,0.0009,0.0038,0.00181,0.00319,0.00317,0.00217,0.00180,0.00238,0.0125,0.00133,-0.0319,0.00156,471.02,463.25,38.82,38.96,8.34,0.0009,0.0037,13.02
Ba135,443.61,448.91,39.65,38.92,665.30,-0.008,0.009,0.0087,0.0242,0.384,-0.0082,0.089,0.0063,0.245,0.072,-0.359,-0.0016,455.20,446.68,39.39,39.24,438.19,-0.004,0.0135,676.71
Ba137,443.93,448.72,39.56,39.00,659.89,0.0187,0.0027,0.0176,0.0114,0.226,0.0075,0.0279,0.0144,0.230,0.078,-0.453,-0.0010,444.16,440.50,39.50,39.12,334.79,0.0080,0.015,656.30
La139,436.60,437.13,35.99,35.99,23.80,0.0007,0.0015,0.0127,0.755,2.53,0.0120,0.223,0.0812,0.452,2.81,<-1.00,0.0229,441.61,432.97,36.38,35.64,33.32,0.0005,-0.0004,24.31
Ce140,450.96,456.54,37.94,38.95,49.90,-0.00006,-0.0011,0.1413,0.428,134.99,0.0479,0.313,1.293,2.342,0.865,<-1.00,2.115,456.63,451.87,38.12,38.65,47.95,0.00152,0.00058,49.68
Gd157,441.54,444.26,37.34,37.23,6.22,-0.0067,0.0002,-0.0023,0.0028,0.0551,0.0048,0.0173,0.0541,0.0079,0.0142,-0.147,0.0673,449.72,437.65,37.74,36.88,11.21,0.0063,-0.0038,6.20
Yb172,453.84,457.54,39.26,39.11,3.13,0.0184,0.0115,0.0087,0.0076,0.0105,0.0112,0.0130,0.0034,0.0129,0.0111,0.0161,0.0148,471.91,460.95,39.59,38.84,<-1.00,0.0266,0.0230,3.22

GLITTER!: Trace Element Concentrations LOQ filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,495.24,508.31,39.41,41.19,9.74,1.855,2.63,1.703,2.006,1.848,1.625,1.804,1.822,1.843,2.090,1.673,1.700,501.21,513.78,39.22,41.16,80.18,1.793,2.54,9.59
B11,239.99,245.29,34.23,34.38,15.64,14.72,13.76,11.86,11.55,10.92,10.79,10.49,10.24,10.35,10.17,9.37,9.71,255.13,260.45,34.17,34.42,2982.88,12.25,11.61,14.55
Na23,101833.91,103987.20,100519.39,103046.81,23704.65,39.36,104.11,101.02,105.54,108.58,116.98,102.96,104.20,106.51,109.45,76.08,99.18,101348.74,102523.16,99671.05,103615.23,78765.95,40.35,105.59,23117.19
Mg24,493.93,512.03,68.30,67.72,24220.45,354352.38,353125.34,346576.03,352463.44,344974.44,347366.66,345621.97,345578.28,350314.81,347504.22,344761.50,351567.63,494.08,505.56,67.10,68.92,10375.00,362469.09,364540.25,24153.78
