GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run1.b
Created: Fri Sep 29 18:21:09 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
Ca43,81905.45,81905.45,85049.41,85049.41,51029.65,414.96,524.02,66.46,85.34,85.01,107.76,75.41,39.82,73.97,65.76,137.06,73.14,81905.42,81905.42,85049.39,85049.40,51029.64,414.88,516.64
Ca44,81394.67,80665.31,84900.89,85265.06,50531.86,1015.31,1105.50,538.24,551.68,542.55,552.14,522.33,504.21,514.69,509.52,523.00,537.78,81990.41,81278.62,84429.45,85727.78,49817.20,823.85,989.35
Sc45,303.43,303.86,39.71,40.15,31.32,10.42,9.55,6.15,6.11,6.21,6.14,6.92,5.81,6.00,6.24,6.09,6.67,357.68,358.32,39.52,40.31,31.77,8.50,7.43
Ti47,386.87,383.98,43.12,45.05,11843.35,9.46,37.61,81.17,80.85,81.65,81.05,14.68,7.96,61.75,21.34,47.98,9.54,429.37,435.34,44.08,43.85,13268.90,8.90,39.48
Ti49,481.12,485.31,43.53,44.66,14907.23,7.02,39.55,96.36,94.96,93.18,92.86,14.96,5.56,67.78,19.73,56.68,8.38,484.45,481.65,42.99,45.09,14345.52,6.30,37.82
V51,441.80,440.26,38.46,39.24,420.15,3.14,6.04,2.390,2.351,2.420,2.412,2.833,1.720,4.07,4.43,3.32,3.12,455.44,451.18,38.40,39.22,423.06,3.25,6.26
Cr53,398.46,397.80,36.29,36.61,14.32,136.60,257.94,123.72,124.59,123.98,125.95,168.29,40.32,94.59,187.47,133.78,164.44,405.83,414.56,35.27,37.75,14.96,140.07,273.18
Mn55,430.23,424.16,38.26,39.30,1518.35,1043.89,916.90,1183.36,1213.24,1216.07,1210.38,634.08,769.91,715.17,789.10,1068.57,909.57,422.71,425.25,37.95,39.53,1516.95,1095.33,953.72
Co59,406.97,402.52,35.41,35.63,37.62,148.12,152.67,135.45,135.69,137.08,137.16,114.42,150.61,128.34,133.36,163.59,132.96,407.40,409.12,35.14,35.89,37.99,152.04,156.34
Ni60,444.39,441.25,38.50,39.23,12.08,3122.40,3241.77,2635.40,2649.00,2704.08,2713.61,2699.39,3209.76,2676.62,2963.90,2996.58,2973.58,460.02,461.74,37.74,39.99,12.74,3267.63,3435.29
Ni62,450.87,448.49,37.20,41.01,16.98,3140.42,3249.81,2681.75,2652.47,2675.82,2709.77,2722.13,3190.64,2616.12,2939.04,2910.41,2916.42,448.79,457.22,37.52,40.11,17.34,3161.70,3298.66
Cu63,435.44,439.61,37.62,38.06,17.72,0.883,4.37,1.071,1.145,1.155,1.082,0.701,0.563,0.919,1.154,1.681,0.642,444.80,443.98,36.98,38.71,17.74,0.806,4.20
Zn66,454.60,452.28,39.48,38.72,191.07,61.57,73.06,72.63,74.34,74.88,75.22,37.74,73.93,59.18,53.24,89.97,61.91,466.45,475.11,38.03,40.35,185.37,63.05,72.73
Zn67,435.14,443.18,39.27,38.93,239.47,52.85,64.45,63.85,64.27,63.80,63.71,31.68,63.42,51.42,45.86,81.34,53.58,448.28,450.47,38.58,39.69,222.06,54.25,64.29
Ga69,422.51,427.39,36.82,37.02,87.61,0.0459,0.0844,0.0279,0.0260,0.0280,0.0545,0.0059,0.0242,0.0698,0.0321,0.0839,0.0367,426.63,433.25,36.52,37.32,80.56,0.0514,0.0768
Sr88,507.89,507.61,77.89,79.02,324.38,0.0023,0.0079,0.0028,0.00164,-0.0011,0.0772,0.0038,0.0031,0.0081,0.0022,0.0173,-0.0001,509.70,510.08,78.34,78.43,325.73,0.0025,0.0019
Y89,461.19,463.97,38.53,38.03,29.26,0.0195,0.0500,0.0040,0.0032,0.0021,0.00185,0.0042,0.00098,0.0017,0.00238,0.0010,0.0032,468.41,464.47,38.48,38.13,28.37,0.0369,0.0410
Zr90,434.03,441.10,37.63,38.21,159.45,0.0345,0.0485,0.152,0.125,0.132,0.159,0.098,-0.0050,0.0199,0.0966,0.0237,0.0986,453.54,447.68,38.13,37.63,155.30,0.043,0.0332
