GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run3.b
Created: Fri Sep 29 18:23:58 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
Sr88,506.10,511.11,78.01,78.94,330.51,<0.0277,<0.0235,<0.0119,0.0068,<0.0105,<0.00582,<0.0121,<0.0086,<0.0115,0.00136,<0.0117,<0.0080,505.21,509.94,78.54,78.23,328.98,<0.0395,<0.0200
Y89,470.06,459.18,38.26,38.34,28.89,0.0279,0.0486,0.0103,<0.0121,<0.0166,0.0132,<0.0096,<0.0136,<0.0129,<0.0125,<0.0113,0.00260,462.55,461.01,38.54,38.05,28.82,0.0334,0.0562
Zr90,442.73,435.83,37.91,37.87,156.28,0.061,0.0394,0.139,0.092,0.441,0.460,0.0872,0.231,0.224,0.149,0.162,0.181,438.13,437.36,38.07,37.72,156.74,0.065,<0.046
Nb93,463.65,458.72,38.71,39.17,12.58,<0.0219,<0.0175,0.0161,0.0091,0.394,0.367,0.0182,0.1200,0.0889,0.0612,0.0934,0.0781,459.96,469.00,38.89,38.89,12.86,0.0159,0.0040
Ba135,446.10,450.95,39.07,39.64,689.72,<0.168,<0.330,<0.103,0.029,<0.00,0.0076,0.0038,<0.105,<0.163,0.025,0.0112,<0.121,451.63,461.75,39.10,39.50,698.75,<0.184,<0.247
Ba137,452.01,450.68,38.54,40.36,689.84,<0.136,<0.133,0.0023,<0.075,<0.094,0.0086,<0.0417,<0.0418,0.0048,<0.088,0.0105,<0.0390,441.96,451.54,39.77,38.77,675.05,<0.368,0.0152
La139,434.71,430.67,35.71,36.41,23.28,<0.0246,0.0036,<0.0086,<0.0135,<0.0087,0.00158,<0.00615,<0.00617,0.00035,<0.0065,<0.00592,<0.00,434.00,433.74,35.88,36.10,23.30,<0.0151,0.0015
Ce140,452.93,448.10,38.03,38.89,50.92,<0.0192,0.00057,<0.0117,<0.0106,<0.00682,<0.0080,<0.00679,0.00101,<0.00528,<0.0102,0.0090,0.00321,448.33,454.31,38.82,37.94,50.90,0.0036,<0.0193
Gd157,450.82,444.65,36.94,37.82,5.65,<0.137,<0.0674,<0.0297,<0.0658,0.0063,<0.0289,<0.0424,0.0063,0.0069,<0.0319,<0.0648,<0.0400,450.20,447.65,37.00,37.60,5.73,<0.149,<0.122
Yb172,469.37,458.42,39.05,39.42,3.03,<0.0604,0.0175,<0.0413,0.0025,<0.0265,0.0048,<0.0375,<0.0377,<0.00,<0.0283,0.00095,0.0100,471.38,465.33,38.92,39.49,2.90,<0.094,0.0279

GLITTER!: 1 sigma error.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
Li7,17.46,17.33,1.48,1.53,0.38,0.084,0.10,0.079,0.092,0.073,0.074,0.086,0.090,0.094,0.079,0.086,0.087,20.89,21.34,1.86,1.95,0.49,0.084,0.10
